epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1455.59,0.72211,1.44281,1.36133,0.94488,0.8,0.81669,0.62857,0.87528,1.60334,1.40732,0.00333082,0.00333082,0.00333082
2,2899.98,0.69313,1.02522,1.32562,0.8955,0.77907,0.80656,0.57922,1.02398,1.35592,1.63348,0.00664216,0.00664216,0.00664216
3,4343.06,0.74735,0.92738,1.3589,0.90048,0.74036,0.80815,0.63377,1.01078,1.2591,1.53503,0.0099315,0.0099315,0.0099315
4,5784.71,0.77518,0.88446,1.3714,0.94853,0.75455,0.83696,0.61653,1.00818,0.90961,1.46185,0.009901,0.009901,0.009901
5,7226.9,0.7348,0.82273,1.3339,0.92311,0.8,0.8371,0.6476,0.98388,0.99117,1.35499,0.009868,0.009868,0.009868
6,8669.25,0.71061,0.7972,1.31631,0.87156,0.79091,0.84584,0.67261,0.88493,0.90778,1.33859,0.009835,0.009835,0.009835
7,10112.6,0.69331,0.77597,1.30589,0.9329,0.79091,0.85062,0.69518,0.76845,0.81236,1.24102,0.009802,0.009802,0.009802
8,11555.2,0.67714,0.75754,1.29251,0.93607,0.79861,0.84451,0.67044,0.84337,0.81153,1.23141,0.009769,0.009769,0.009769
9,12997.4,0.65274,0.72146,1.27852,0.89979,0.81633,0.86144,0.6973,0.78708,0.72809,1.21299,0.009736,0.009736,0.009736
10,14440.6,0.63256,0.71548,1.26256,0.94544,0.8,0.86587,0.70638,0.77418,0.74923,1.17603,0.009703,0.009703,0.009703
11,15883.6,0.63014,0.70829,1.26571,0.93583,0.79549,0.86803,0.72278,0.74143,0.78048,1.14214,0.00967,0.00967,0.00967
12,17327,0.61988,0.68561,1.25513,0.9578,0.82727,0.87162,0.72189,0.68218,0.70745,1.09889,0.009637,0.009637,0.009637
13,18769.8,0.60872,0.67929,1.24848,0.9583,0.84545,0.8654,0.71882,0.73471,0.71001,1.15607,0.009604,0.009604,0.009604
14,20213,0.60632,0.66865,1.2423,0.94319,0.80909,0.86033,0.72439,0.69191,0.71062,1.12042,0.009571,0.009571,0.009571
15,21656.9,0.6005,0.67189,1.24239,0.96692,0.7973,0.87361,0.71951,0.7029,0.70402,1.11272,0.009538,0.009538,0.009538
16,23100.3,0.58927,0.65157,1.23062,0.88127,0.82727,0.85679,0.72797,0.7588,0.72862,1.15816,0.009505,0.009505,0.009505
17,24541,0.59124,0.66465,1.23876,0.94783,0.82577,0.86732,0.74604,0.68697,0.69745,1.07164,0.009472,0.009472,0.009472
18,25982.5,0.57518,0.64153,1.22823,0.91072,0.83459,0.86724,0.70739,0.7216,0.69962,1.11968,0.009439,0.009439,0.009439
